Map size: 450, 300

# min_x, min_y, max_x, max_y


building_dict Total Count : 55
-------------------------
car_bmw(3) : (-7.615002829432036, -24.3350008819658, -5.884997170567964, -18.784999118034197)
car_bmw(4) : (42.1247977046546, -93.16500736370863, 47.6748022953454, -91.43499263629137)
car_bmw(5) : (-7.405397556838526, -138.22500547262203, -5.6753624431614735, -132.67499452737795)
car_bmw(6) : (166.01499540932872, -119.44601472741117, 171.56500459067126, -117.71598527258884)
car_bmw(7) : (18.534695409328737, -116.15501472741117, 24.08470459067126, -114.42498527258884)
car_bmw(8) : (219.40499717056798, -143.5350008819658, 221.13500282943204, -137.98499911803418)
car_bmw(9) : (204.48499717056796, -139.6450008819658, 206.21500282943202, -134.0949991180342)
car_bmw(10) : (283.48499540932875, -16.51591472741117, 289.03500459067124, -14.78588527258883)
car_bmw(11) : (250.37499770465462, -3.9356073637086313, 255.9250022953454, -2.205592636291369)
car_bmw(12) : (223.01498244316147, -38.605605472622045, 224.74501755683852, -33.05559452737795)
car_bmw(13) : (204.36499717056796, -76.76550088196579, 206.09500282943202, -71.2154991180342)
car_bmw(14) : (255.1249954093287, -67.37561472741116, 260.6750045906712, -65.64558527258883)
car_bmw(15) : (204.67499717056796, 33.6744991180342, 206.40500282943202, 39.2245008819658)
car_bmw(16) : (208.11499717056796, 63.07459911803419, 209.84500282943202, 68.62460088196579)
car_bmw(17) : (167.4749977046546, 6.7746326362913685, 173.0250022953454, 8.504647363708632)
car_bmw(18) : (35.42499487910158, -69.23471642845658, 40.97500512089842, -67.50468357154341)
car_bmw(19) : (145.45499540932872, -69.22531472741116, 151.00500459067126, -67.49528527258883)
car_bmw(20) : (131.07499717056797, -28.2753008819658, 132.80500282943203, -22.725299118034197)
car_bmw(21) : (46.325097170567965, 44.454999118034195, 48.05510282943204, 50.0050008819658)
car_bmw(22) : (80.5649977046546, -2.5751073637086312, 86.1150022953454, -0.8450926362913689)
car_CitroenCZero(1) : (-7.1900018862879085, -16.699900815691286, -5.589998113712091, -12.999899184308713)
car_CitroenCZero(2) : (-23.69000188628791, 22.11999918430871, -22.08999811371209, 25.820000815691287)
car_CitroenCZero(3) : (-15.810001886287909, 27.749999184308713, -14.209998113712091, 31.45000081569129)
car_CitroenCZero(4) : (-45.670004490410854, 3.9300396158701028, -41.96999550958915, 5.530060384129897)
car_CitroenCZero(5) : (-19.910101886287908, -54.14000081569129, -18.31009811371209, -50.43999918430871)
car_CitroenCZero(6) : (-23.63010188628791, -88.5300008156913, -22.030098113712093, -84.82999918430872)
car_CitroenCZero(7) : (8.609697877134678, -103.93000490913829, 12.309702122865321, -102.3299950908617)
car_CitroenCZero(8) : (139.99999787713466, -99.9200049091383, 143.70000212286533, -98.31999509086171)
car_CitroenCZero(9) : (101.97999787713468, -96.22020490913829, 105.68000212286532, -94.6201950908617)
car_CitroenCZero(10) : (-11.530301886287909, -145.64000081569128, -9.930298113712091, -141.9399991843087)
car_CitroenCZero(11) : (152.2599957542824, -111.18100981827097, 155.96000424571764, -109.58099018172904)
car_CitroenCZero(12) : (170.93999575428236, -115.29000981827096, 174.64000424571762, -113.68999018172903)
car_CitroenCZero(13) : (212.1199981137121, -143.42000081569128, 213.7200018862879, -139.7199991843087)
car_CitroenCZero(14) : (223.3599981137121, -148.8800008156913, 224.9600018862879, -145.1799991843087)
car_CitroenCZero(15) : (258.7899978771347, 3.659285090861699, 262.4900021228653, 5.259294909138301)
car_CitroenCZero(16) : (314.8099957542824, -8.640809818270968, 318.51000424571765, -7.040790181729031)
car_CitroenCZero(17) : (324.6399978771347, 4.509125090861699, 328.3400021228653, 6.109134909138301)
car_CitroenCZero(18) : (211.4999981137121, -39.98060081569129, 213.1000018862879, -36.28059918430871)
car_CitroenCZero(19) : (212.5099981137121, -86.73060081569129, 214.1100018862879, -83.03059918430871)
car_CitroenCZero(20) : (200.58999811371208, -87.17050081569128, 202.1900018862879, -83.47049918430871)
car_CitroenCZero(21) : (204.8099981137121, -65.17050081569128, 206.41000188628792, -61.470499184308714)
car_CitroenCZero(22) : (271.34999575428236, -67.27080981827096, 275.0500042457176, -65.67079018172903)
car_CitroenCZero(23) : (201.35999320457594, 18.9894970614484, 202.96000679542405, 22.689502938551602)
car_CitroenCZero(24) : (215.6799981137121, 33.69949918430871, 217.2800018862879, 37.39950081569129)
car_CitroenCZero(25) : (166.31999787713465, 3.189595090861699, 170.02000212286532, 4.789604909138301)
car_CitroenCZero(26) : (145.25999787713468, 0.3796250908616988, 148.96000212286535, 1.979634909138301)
car_CitroenCZero(27) : (116.47999575428238, -69.09030981827097, 120.18000424571761, -67.49029018172904)
car_CitroenCZero(28) : (95.0400981137121, 71.10979918430871, 96.64010188628791, 74.80980081569129)
car_CitroenCZero(29) : (125.12999787713468, 39.9696950908617, 128.83000212286532, 41.5697049091383)
car_CitroenCZero(30) : (11.569997877134679, 3.190005090861699, 15.270002122865321, 4.790014909138301)
car_lincolnMKZ(1) : (-19.09000265099929, 29.35999898038604, -17.08999734900071, 34.56000101961396)
car_lincolnMKZ(2) : (-7.460002650999288, -71.53000101961396, -5.459997349000712, -66.32999898038605)
car_lincolnMKZ(3) : (2.6497473464193604, -92.93000689932995, 7.849752653580639, -90.92999310067006)
car_lincolnMKZ(4) : (-11.130302650999287, -138.10000101961396, -9.130297349000713, -132.89999898038604)
car_lincolnMKZ(5) : (212.08999734900073, -137.18000101961397, 214.09000265099928, -131.97999898038606)
car_lincolnMKZ(6) : (223.14999734900073, -24.75060101961396, 225.15000265099928, -19.55059898038604)
car_lincolnMKZ(7) : (212.16998355035327, -21.77060632674286, 214.1700164496467, -16.57059367325714)
car_lincolnMKZ(8) : (218.93999734900072, -34.63060101961396, 220.94000265099928, -29.43059898038604)
car_lincolnMKZ(9) : (207.9799973490007, -86.22000101961396, 209.98000265099927, -81.01999898038605)
car_lincolnMKZ(10) : (373.88999469285704, -68.29141379865284, 379.090005307143, -66.29138620134715)
car_lincolnMKZ(11) : (207.7899973490007, 27.84949898038604, 209.79000265099927, 33.049501019613956)
car_lincolnMKZ(12) : (96.67999469285704, -65.90021379865284, 101.88000530714297, -63.900186201347154)
car_lincolnMKZ(13) : (183.29999469285704, -65.63061379865285, 188.50000530714297, -63.63058620134716)
car_lincolnMKZ(14) : (127.5399973490007, 18.79969898038604, 129.54000265099927, 23.99970101961396)
car_lincolnMKZ(15) : (4.729997346419361, 3.830023100670058, 9.93000265358064, 5.830036899329942)
car_bsnzs(1) : (-20.00000265099929, 23.00999898038604, -17.99999734900071, 28.21000101961396)
car_bsnzs(2) : (-11.380009550326523, 37.38999632681244, -9.379990449673478, 42.59000367318757)
car_bsnzs(3) : (-41.940005307142975, -5.759953798652842, -36.73999469285703, -3.7599262013471586)
car_bsnzs(4) : (-10.930012650999286, -51.58000101961396, -8.930007349000713, -46.379998980386034)
car_bsnzs(5) : (-15.510102650999286, -80.22000101961396, -13.510097349000713, -75.01999898038605)
car_bsnzs(6) : (5.499897346419361, -97.07000689932994, 10.69990265358064, -95.06999310067005)
car_bsnzs(7) : (-8.160322650999287, -171.10000101961396, -6.160317349000712, -165.89999898038604)
car_bsnzs(8) : (168.38999469285704, -108.66101379865285, 173.59000530714297, -106.66098620134716)
car_bsnzs(9) : (68.32969469285703, -115.98001379865285, 73.52970530714296, -113.97998620134716)
car_bsnzs(10) : (200.30999734900072, -177.96000101961397, 202.31000265099928, -172.75999898038606)
car_bsnzs(11) : (276.69999469285705, -12.750713798652843, 281.900005307143, -10.750686201347158)
car_bsnzs(12) : (348.1199973464194, -4.410946899329942, 353.3200026535807, -2.410933100670058)
car_bsnzs(13) : (223.40999734900072, -60.27060101961396, 225.41000265099927, -55.07059898038604)
car_bsnzs(14) : (327.57999469285704, -66.84111379865284, 332.78000530714297, -64.84108620134715)
car_bsnzs(15) : (142.48999734900073, -43.320301019613964, 144.4900026509993, -38.12029898038604)
car_bsnzs(16) : (95.7900973490007, 16.70979898038604, 97.79010265099929, 21.90980101961396)
car_bsnzs(17) : (128.2699835503533, 60.939693673257146, 130.27001644964673, 66.13970632674287)
car_bsnzs(18) : (186.96999469285703, 41.22948620134716, 192.17000530714296, 43.229513798652846)
car_bsnzs(19) : (103.84999734641936, -5.160216899329942, 109.05000265358065, -3.160203100670058)
car_toyota(1) : (-23.790002650999288, 27.909998980386042, -21.78999734900071, 33.11000101961396)
car_toyota(2) : (-11.340002650999287, -16.49000101961396, -9.339997349000713, -11.289998980386041)
car_toyota(3) : (-61.20000530714297, -2.4398837986528417, -55.99999469285703, -0.4398562013471583)
car_toyota(4) : (-23.60010265099929, -67.93000101961395, -21.600097349000713, -62.72999898038604)
car_toyota(5) : (-15.270102650999286, -87.57000101961395, -13.270097349000713, -82.36999898038604)
car_toyota(6) : (3.129747346419361, -104.23000689932995, 8.32975265358064, -102.22999310067006)
car_toyota(7) : (172.46999734641935, -92.70040689932995, 177.67000265358064, -90.70039310067006)
car_toyota(8) : (9.059797346419362, -93.04000689932995, 14.259802653580639, -91.03999310067006)
car_toyota(9) : (-7.150302650999287, -143.86000101961395, -5.150297349000712, -138.65999898038604)
car_toyota(10) : (154.51999469285704, -115.76001379865285, 159.72000530714297, -113.75998620134716)
car_toyota(11) : (109.57999469285704, -111.72001379865284, 114.78000530714297, -109.71998620134715)
car_toyota(12) : (219.40999734900072, -137.14000101961395, 221.41000265099927, -131.93999898038604)
car_toyota(13) : (219.5099973490007, -157.37100101961394, 221.51000265099927, -152.17099898038603)
car_toyota(14) : (274.41999734641934, 0.019283100670058007, 279.6200026535806, 2.019296899329942)
car_toyota(15) : (240.12999734641934, 3.839353100670058, 245.33000265358064, 5.839366899329942)
car_toyota(16) : (261.6299973464194, -4.250706899329942, 266.83000265358066, -2.250693100670058)
car_toyota(17) : (219.04999734900073, -19.90060101961396, 221.0500026509993, -14.70059898038604)
car_toyota(18) : (200.4499973490007, -46.890501019613964, 202.45000265099927, -41.69049898038604)
car_toyota(19) : (197.37999734900072, 30.49949898038604, 199.38000265099927, 35.69950101961396)
car_toyota(20) : (136.71999734641935, 3.2696431006700584, 141.92000265358064, 5.269656899329942)
car_toyota(21) : (131.7099835503533, -46.730306326742856, 133.71001644964673, -41.53029367325714)
car_toyota(22) : (95.22009734900071, 53.919798980386034, 97.2201026509993, 59.11980101961396)
car_toyota(23) : (48.31009734900071, 28.15989898038604, 50.31010265099928, 33.35990101961396)
car_toyota(24) : (5.309997346419361, -6.349976899329942, 10.510002653580639, -4.349963100670058)


tree_dict Total Count : 234
-------------------------
tree(1) : (11.85, -12.15, 12.15, -11.85)
tree(2) : (11.85, -17.15, 12.15, -16.85)
tree(3) : (11.85, -22.15, 12.15, -21.85)
tree(4) : (11.85, -27.15, 12.15, -26.85)
tree(5) : (11.85, -40.15, 12.15, -39.85)
tree(6) : (11.85, -45.15, 12.15, -44.85)
tree(7) : (11.85, -50.15, 12.15, -49.85)
tree(8) : (11.85, -55.15, 12.15, -54.85)
tree(9) : (11.85, -60.15, 12.15, -59.85)
tree(10) : (16.85, -62.65, 17.15, -62.35)
tree(11) : (21.85, -62.65, 22.15, -62.35)
tree(12) : (26.85, -62.65, 27.15, -62.35)
tree(13) : (31.85, -62.65, 32.15, -62.35)
tree(14) : (36.85, -62.65, 37.15, -62.35)
tree(15) : (41.85, -62.65, 42.15, -62.35)
tree(16) : (46.85, -62.65, 47.15, -62.35)
tree(17) : (51.85, -62.65, 52.15, -62.35)
tree(18) : (56.85, -62.65, 57.15, -62.35)
tree(19) : (61.85, -62.65, 62.15, -62.35)
tree(20) : (66.85, -62.65, 67.15, -62.35)
tree(21) : (71.85, -62.65, 72.15, -62.35)
tree(22) : (76.85, -62.65, 77.15, -62.35)
tree(23) : (81.85, -62.65, 82.15, -62.35)
tree(24) : (86.85, -62.65, 87.15, -62.35)
tree(25) : (91.85, -62.65, 92.15, -62.35)
tree(26) : (96.85, -62.65, 97.15, -62.35)
tree(27) : (101.85, -62.65, 102.15, -62.35)
tree(28) : (106.85, -62.65, 107.15, -62.35)
tree(29) : (111.85, -62.65, 112.15, -62.35)
tree(30) : (116.85, -62.65, 117.15, -62.35)
tree(31) : (121.85, -62.65, 122.15, -62.35)
tree(32) : (138.85, -62.65, 139.15, -62.35)
tree(33) : (146.85, -62.65, 147.15, -62.35)
tree(34) : (151.85, -62.65, 152.15, -62.35)
tree(35) : (156.85, -62.65, 157.15, -62.35)
tree(36) : (161.85, -62.65, 162.15, -62.35)
tree(37) : (166.85, -62.65, 167.15, -62.35)
tree(38) : (171.85, -62.65, 172.15, -62.35)
tree(39) : (176.85, -62.65, 177.15, -62.35)
tree(40) : (14.85, -9.15, 15.15, -8.85)
tree(41) : (19.85, -9.15, 20.15, -8.85)
tree(42) : (24.85, -9.15, 25.15, -8.85)
tree(43) : (29.85, -9.15, 30.15, -8.85)
tree(44) : (34.85, -9.15, 35.15, -8.85)
tree(45) : (39.85, -9.15, 40.15, -8.85)
tree(46) : (44.85, -9.15, 45.15, -8.85)
tree(47) : (49.85, -9.15, 50.15, -8.85)
tree(48) : (54.85, -9.15, 55.15, -8.85)
tree(49) : (59.85, -9.15, 60.15, -8.85)
tree(50) : (64.85, -9.15, 65.15, -8.85)
tree(51) : (69.85, -9.15, 70.15, -8.85)
tree(52) : (74.85, -9.15, 75.15, -8.85)
tree(53) : (79.85, -9.15, 80.15, -8.85)
tree(54) : (84.85, -9.15, 85.15, -8.85)
tree(55) : (89.85, -9.15, 90.15, -8.85)
tree(56) : (94.85, -9.15, 95.15, -8.85)
tree(57) : (104.85, -7.15, 105.15, -6.85)
tree(58) : (109.85, -7.15, 110.15, -6.85)
tree(59) : (114.85, -7.15, 115.15, -6.85)
tree(60) : (119.85, -7.15, 120.15, -6.85)
tree(61) : (126.35, -12.15, 126.65, -11.85)
tree(62) : (126.35, -17.15, 126.65, -16.85)
tree(63) : (126.35, -22.15, 126.65, -21.85)
tree(64) : (126.35, -27.15, 126.65, -26.85)
tree(65) : (126.35, -32.15, 126.65, -31.85)
tree(66) : (126.35, -37.15, 126.65, -36.85)
tree(67) : (126.35, -42.15, 126.65, -41.85)
tree(68) : (126.35, -47.15, 126.65, -46.85)
tree(69) : (126.35, -52.15, 126.65, -51.85)
tree(70) : (126.35, -57.15, 126.65, -56.85)
tree(71) : (134.35, -52.15, 134.65, -51.85)
tree(72) : (134.35, -47.15, 134.65, -46.85)
tree(73) : (134.35, -42.15, 134.65, -41.85)
tree(74) : (134.35, -37.15, 134.65, -36.85)
tree(75) : (134.35, -27.15, 134.65, -26.85)
tree(76) : (134.35, -22.15, 134.65, -21.85)
tree(77) : (134.35, -17.15, 134.65, -16.85)
tree(78) : (134.35, -12.15, 134.65, -11.85)
tree(79) : (146.85, -18.15, 147.15, -17.85)
tree(80) : (146.85, -16.15, 147.15, -15.85)
tree(81) : (146.85, -14.15, 147.15, -13.85)
tree(82) : (148.85, -14.15, 149.15, -13.85)
tree(83) : (150.85, -14.15, 151.15, -13.85)
tree(84) : (152.85, -14.15, 153.15, -13.85)
tree(85) : (154.85, -14.15, 155.15, -13.85)
tree(86) : (178.85, -13.15, 179.15, -12.85)
tree(87) : (176.85, -13.15, 177.15, -12.85)
tree(88) : (193.85, -12.15, 194.15, -11.85)
tree(89) : (193.85, -15.15, 194.15, -14.85)
tree(90) : (193.85, -18.15, 194.15, -17.85)
tree(91) : (193.85, -21.15, 194.15, -20.85)
tree(92) : (193.85, -24.15, 194.15, -23.85)
tree(93) : (193.85, -27.15, 194.15, -26.85)
tree(94) : (193.85, -30.15, 194.15, -29.85)
tree(95) : (193.85, -33.15, 194.15, -32.85)
tree(96) : (193.85, -36.15, 194.15, -35.85)
tree(97) : (193.85, -39.15, 194.15, -38.85)
tree(98) : (193.85, -42.15, 194.15, -41.85)
tree(99) : (193.85, -45.15, 194.15, -44.85)
tree(100) : (193.85, -48.15, 194.15, -47.85)
tree(101) : (193.85, -51.15, 194.15, -50.85)
tree(102) : (193.85, -54.15, 194.15, -53.85)
tree(103) : (193.85, -57.15, 194.15, -56.85)
tree(104) : (186.7, -12.3, 187.3, -11.7)
tree(105) : (186.7, 19.7, 187.3, 20.3)
tree(106) : (186.7, 27.7, 187.3, 28.3)
tree(107) : (186.7, 35.7, 187.3, 36.3)
tree(108) : (188.7, 50.7, 189.3, 51.3)
tree(109) : (188.7, 58.7, 189.3, 59.3)
tree(110) : (188.7, 66.7, 189.3, 67.3)
tree(111) : (188.7, 74.7, 189.3, 75.3)
tree(112) : (186.7, -20.3, 187.3, -19.7)
tree(113) : (188.7, 82.7, 189.3, 83.3)
tree(114) : (193.85, 18.85, 194.15, 19.15)
tree(115) : (193.85, 21.85, 194.15, 22.15)
tree(116) : (193.85, 24.85, 194.15, 25.15)
tree(117) : (193.85, 27.85, 194.15, 28.15)
tree(118) : (193.85, 30.85, 194.15, 31.15)
tree(119) : (193.85, 33.85, 194.15, 34.15)
tree(120) : (193.85, 36.85, 194.15, 37.15)
tree(121) : (186.7, -50.3, 187.3, -49.7)
tree(122) : (186.7, -57.3, 187.3, -56.7)
tree(123) : (179.7, -79.3, 180.3, -78.7)
tree(124) : (166.7, -123.3, 167.3, -122.7)
tree(125) : (156.7, -123.3, 157.3, -122.7)
tree(126) : (146.7, -123.3, 147.3, -122.7)
tree(127) : (136.7, -123.3, 137.3, -122.7)
tree(128) : (126.7, -123.3, 127.3, -122.7)
tree(129) : (116.7, -123.3, 117.3, -122.7)
tree(130) : (106.7, -123.3, 107.3, -122.7)
tree(131) : (96.7, -123.3, 97.3, -122.7)
tree(132) : (86.7, -123.3, 87.3, -122.7)
tree(133) : (76.7, -123.3, 77.3, -122.7)
tree(134) : (66.7, -123.3, 67.3, -122.7)
tree(135) : (56.7, -123.3, 57.3, -122.7)
tree(136) : (46.7, -123.3, 47.3, -122.7)
tree(137) : (36.7, -123.3, 37.3, -122.7)
tree(138) : (26.7, -123.3, 27.3, -122.7)
tree(139) : (16.7, -123.3, 17.3, -122.7)
tree(140) : (6.7, -123.3, 7.3, -122.7)
tree(141) : (0.7, -134.3, 1.3, -133.7)
tree(142) : (0.7, -144.3, 1.3, -143.7)
tree(143) : (0.7, -154.3, 1.3, -153.7)
tree(144) : (0.7, -164.3, 1.3, -163.7)
tree(145) : (0.7, -174.3, 1.3, -173.7)
tree(146) : (0.7, -184.3, 1.3, -183.7)
tree(147) : (0.7, -194.3, 1.3, -193.7)
tree(148) : (193.7, -194.3, 194.3, -193.7)
tree(149) : (193.7, -184.3, 194.3, -183.7)
tree(150) : (193.7, -174.3, 194.3, -173.7)
tree(151) : (193.7, -164.3, 194.3, -163.7)
tree(152) : (193.7, -154.3, 194.3, -153.7)
tree(153) : (193.7, -144.3, 194.3, -143.7)
tree(154) : (193.7, -134.3, 194.3, -133.7)
tree(155) : (0.7, -10.3, 1.3, -9.7)
tree(156) : (0.7, -17.3, 1.3, -16.7)
tree(157) : (0.7, -24.3, 1.3, -23.7)
tree(158) : (0.7, -31.3, 1.3, -30.7)
tree(159) : (0.7, -38.3, 1.3, -37.7)
tree(160) : (0.7, -45.3, 1.3, -44.7)
tree(161) : (0.7, -59.3, 1.3, -58.7)
tree(162) : (226.35, 18.85, 226.65, 19.15)
tree(163) : (226.35, 21.85, 226.65, 22.15)
tree(164) : (226.35, 24.85, 226.65, 25.15)
tree(165) : (226.35, 27.85, 226.65, 28.15)
tree(166) : (226.35, 30.85, 226.65, 31.15)
tree(167) : (226.35, 33.85, 226.65, 34.15)
tree(168) : (226.35, 36.85, 226.65, 37.15)
tree(169) : (226.35, 39.85, 226.65, 40.15)
tree(170) : (226.35, 42.85, 226.65, 43.15)
tree(171) : (226.35, 45.85, 226.65, 46.15)
tree(172) : (226.35, 48.85, 226.65, 49.15)
tree(173) : (226.35, 51.85, 226.65, 52.15)
tree(174) : (226.35, 54.85, 226.65, 55.15)
